source,target,weight
27,253,0.6640668296774977
27,266,0.5637109036763385
27,284,0.54300859833058
28,19,0.6772896197311729
28,27,0.6635503507977677
28,32,0.6914558386649329
28,33,0.7096825201957623
28,36,0.6739326575537973
28,46,0.6429979163871387
28,54,0.7203176002908537
28,58,0.5773957107054996
28,64,0.5703992201694137
28,91,0.656467819673039
28,94,0.6587852387833459
28,95,0.6205745280678622
28,102,0.6265934062914127
28,116,0.5982588588452713
28,119,0.5570921990955863
28,147,0.713568496311538
28,150,0.6800908150707609
28,156,0.6559053147713092
28,167,0.6363871011985555
28,173,0.6598949967900637
28,179,0.561014976647944
28,180,0.6539300122768651
28,190,0.6195804422986163
28,198,0.5483184068177336
28,199,0.6792384661068203
28,201,0.584153804551481
28,202,0.5663570484345614
28,203,0.5565000476117316
28,204,0.6591202312957786
28,211,0.6761614912554175
28,221,0.6378637177295016
28,250,0.6747140813882467
28,253,0.676215323687406
28,266,0.5610061303849389
28,294,0.5541286462157987
29,22,0.5318331407267426
29,42,0.5294913423890328
29,45,0.5021485076763068
29,88,0.46517441571691254
29,94,0.5335665483716638
29,114,0.4813324991130207
29,117,0.532796724305363
29,124,0.5299539191953601
29,128,0.48763142699724665
29,159,0.5440009240511742
29,166,0.5389895923609496
29,173,0.5327203561283926
29,190,0.5314618000358271
29,205,0.4687324147308649
29,212,0.5095114475195309
29,213,0.37572289233737116
29,245,0.5302821007165285
29,251,0.4857304813411637
30,35,0.40009368914369187
30,38,0.39245096200501217
30,73,0.3775344194839375
30,82,0.35510673744598237
30,88,0.41254790492808524
30,119,0.37084628112620366
30,140,0.3737120682641017
30,142,0.3369454195713103
30,149,0.30609026148385815
30,247,0.3724212094446472
30,276,0.3889715947063019
30,277,0.3702049460135911
30,296,0.3905677748099001
31,58,0.5493554833044736
31,90,0.5061980126299662
31,104,0.4893293420137156
31,109,0.43557181522637856
31,140,0.4963076670620762
31,157,0.5038090590233383
31,158,0.5347027989355408
31,159,0.5170646410294442
31,163,0.4694171584181365
31,166,0.5244138446907373
31,183,0.372344492772625
31,214,0.5495473955958088
31,215,0.3931493526016626
31,216,0.4261809801894357
31,225,0.4051687686635071
31,228,0.46026035465834036
31,242,0.505146674825759
31,254,0.4409148356415723
31,255,0.42815397395896915
31,276,0.5030343197306079
31,296,0.4975698442959132
32,12,0.6384921733990857
32,16,0.5396571276458701
32,19,0.6884985545099668
32,23,0.5538998209668112
32,27,0.6678514088229552
32,28,0.6914558386649329
32,33,0.6887498220326179
32,42,0.6444795348231537
32,46,0.6441114853013169
32,48,0.5256055026607022
32,54,0.6861308647048301
32,63,0.683554268517937
32,64,0.5556615938759641
32,67,0.5741419856584217
32,69,0.5181987793726721
32,85,0.5464848301709697
32,91,0.6846946184466409
32,94,0.6812252223180786
32,95,0.6062513032478729
32,102,0.6115772426351666
32,116,0.6020029636035198
32,117,0.581618557865768
32,119,0.5706346441709252
32,147,0.6844011973013017
32,153,0.5627454826587146
32,154,0.5400942772570078
32,156,0.654625847438307
32,160,0.6487499092237418
32,167,0.6480086433723982
32,173,0.6464367088137137
32,181,0.636902690990861
32,204,0.6615836355425452
32,211,0.6894936992074626
32,218,0.6490278578576981
32,220,0.6311956619874718
32,231,0.6241910252286436
32,250,0.6875592717969575
32,252,0.6372970553670194
32,253,0.6911925404821571
32,258,0.5942832528747017
32,266,0.5672929181948229
33,19,0.6890890063499386
33,27,0.6814523517043166
33,28,0.7096825201957623
33,32,0.6887498220326179
33,36,0.7035355004150162
33,37,0.7079608660736517
33,40,0.7176125321844674
33,42,0.645565066409834
33,49,0.659695830351039
33,50,0.7003931511816829
33,51,0.634168504277188
33,52,0.6164900033869996
33,54,0.7080956727838005
33,63,0.7278116613064589
33,91,0.6549273514848288
33,111,0.7090742303880342
33,147,0.7541335862010957
33,150,0.6977409020802459
33,151,0.7284241387785919
33,152,0.7141350998370583
